Date,Category,Subcategory,Description,Amount,Payment_Method,Note,Receipt_Reference
2024-10-05,House Plot,Land Cost,Land purchase,2500000.0,Not specified,cost for the land,
2024-10-05,House Plot,Land Registration,Land registration fees,60000.0,Not specified,registration for the land,
2024-10-05,House Plot,Land Cost,cost for the land,2500000.0,Not Specified,,
2024-10-05,House Plot,Land Registration,registration for the land,60000.0,Not Specified,,
2025-03-05,Planning,House Plan,House plan design,3500.0,Cash,plan design by zara,
2025-03-05,Planning,House Plan,plan design by zara,3500.0,Not Specified,,
2025-03-20,Building Plan Approval,EC market value,EC approval,700.0,Not specified,sub-register office,
2025-03-20,Building Plan Approval,EC market value,sub-register office,700.0,Not Specified,,
2025-03-22,Building Material,Material (Wood),Teak wood purchase,701000.0,Not specified,bought teak,
2025-03-22,Building Material,Material (Wood),bought teak,701000.0,Not Specified,,
2025-04-01,Planning,Other Expenses,Given to Poojari,500.0,Not Specified,,
2025-04-01,Transportation,Coolie (Wood),Coolie charges for teak,4000.0,Not Specified,,
2025-04-01,Transportation,Transportation,transportation of teak to home,4000.0,Not Specified,,
2025-04-01,Transportation,Permits,Permit for transportation of teak,2600.0,Not Specified,,
2025-04-01,Transportation,Transportation,Teak transportation,4000.0,Not specified,transportation of teak to home,
2025-04-01,Transportation,Permits,check post cost,600.0,Not Specified,,
2025-04-01,Transportation,Coolie (Wood),Labor charges for teak,4000.0,Not specified,Coolie charges for teak,
2025-04-01,Transportation,Personal Transport,General transportation to pormamilla,500.0,Not Specified,,
2025-04-09,Construction,Carpenter,Advance for Aachari,4000.0,Not Specified,,
2025-04-13,Construction,Coolie,"Advance for the Coolie, construction",10000.0,Not Specified,,
2025-04-21,Building Plan Approval,Property Tax,property tax,8197.0,Not Specified,,
2025-04-23,Initial Setup,Basic Things,Electrical & water connections,1000.0,Not Specified,,
2025-04-26,Initial Setup,Construction Equipment,"bought 10 tubs, 2 paralu",2700.0,Not Specified,,
2025-04-26,Building Material,RR Stones,1 tractor,4000.0,Not Specified,,
2025-04-26,Construction,Bhumi Pooja,vastralu,1530.0,Not Specified,,
2025-04-28,Construction,Bhumi Pooja,Bought things for Bhumi Pooja,3000.0,Not Specified,,
2025-04-28,Construction,Coolie,"first payment to masthan, after marking",100000.0,Not Specified,,
2025-04-29,Construction,Ramapuram Kankara,6 units kankara before bhumi pooja,23200.0,Not Specified,,
2025-04-30,Construction,Bhumi Pooja,Expenses on the day of Bhumi Pooja,10000.0,Not Specified,,
2025-05-01,Construction,Sand,4 tractors sand,8000.0,Not Specified,,
2025-05-01,Construction,kankara,1 tractor 40mm kankara,4800.0,Not Specified,,
2025-05-02,Initial Setup,Basic Things,Pipe for water,1500.0,Not Specified,,
2025-05-04,Initial Setup,Basic Things,wire for vibration,1200.0,Not Specified,,
2025-05-05,Construction,Rent for Miller & rekulu,rent for miller & rekulu,5600.0,Not Specified,,
2025-05-06,Construction,JCB,rent for JCB,16000.0,Not Specified,,
2025-05-06,Construction,Coolie,side charges for 2 extra persons to dug pits,1500.0,Not Specified,,
2025-05-06,Construction,Basement Stones,7 tractors stones,28100.0,Not Specified,,
2025-05-06,Construction,Sand,2 tractors sand,4600.0,Not Specified,,
2025-05-09,Construction,Iron,"Total iron cost 310677, paid first installement through PhonePe",95000.0,Not Specified,,
2025-05-09,Construction,Labour charges,Labour charge while recertification of iron,2000.0,Not Specified,,
2025-05-10,Construction,Basement Stones,5 tractor stones,20000.0,Not Specified,,
2025-05-10,Construction,Coolie,"Gave to Mestri while gng to Delhi, for general expenditure",1000.0,Not Specified,,
2025-05-13,Construction,Basement Stones,3 trips stones,12000.0,Not Specified,,
2025-05-15,Construction,Iron,Iron installement second,55000.0,Not Specified,,
2025-05-16,Construction,Coolie,general expenses,1000.0,Not Specified,,
2025-05-19,Construction,Coolie,front side basement guntha with coolies,5000.0,Not Specified,,
2025-05-20,Construction,Cement,Ramco cement first installment,50000.0,Not Specified,,
2025-05-20,Construction,Iron,Third installement,60677.0,Not Specified,,
2025-05-23,Construction,Coolie,Gave to mastan; Phonepe,40000.0,Not Specified,,
2025-05-24,Construction,kankara,1 tractor kankara,8000.0,Not Specified,,
2025-06-01,Construction,Coolie,Gave to kamal basha; cred,50000.0,Not Specified,,
